COM,PMUN,PCAP,PTOT
Grand-Rozoy,304,5,309
Grand-Verly,138,0,138
Grandlup-et-Fay,301,11,312
Grandrieux,83,2,85
Gricourt,980,27,1007
Grisolles,252,2,254
Gronard,73,2,75
Grougis,358,5,363
Grugies,1355,27,1382
Guise,4824,105,4929
Guivry,243,11,254
Guny,423,4,427
Guyencourt,253,5,258
Hannapes,318,6,324
Happencourt,133,4,137
Haramont,580,8,588
Harcigny,242,2,244
Hargicourt,598,4,602
Harly,1610,36,1646
Hartennes-et-Taux,371,10,381
Hary,208,5,213
Hautevesnes,167,3,170
Hauteville,166,5,171
Haution,144,7,151
La Hérie,143,6,149
Le Hérie-la-Viéville,230,121,351
Hinacourt,25,1,26
Hirson,8813,188,9001
Holnon,1387,40,1427
Homblières,1464,46,1510
Houry,53,2,55
Housset,149,7,156
Iron,239,2,241
Itancourt,1031,35,1066
Iviers,232,2,234
Jaulgonne,645,16,661
Jeancourt,271,2,273
Jeantes,205,0,205
Joncourt,299,3,302
Jouaignes,144,5,149
Jumencourt,146,6,152
Jumigny,64,1,65
Jussy,1260,18,1278
Juvigny,277,4,281
Juvincourt-et-Damary,599,5,604
Laffaux,149,4,153
Laigny,196,1,197
Lanchy,37,1,38
Landifay-et-Bertaignemont,269,7,276
Landouzy-la-Cour,187,0,187
Landouzy-la-Ville,541,5,546
Landricourt,137,5,142
Laniscourt,182,5,187
Laon,24876,673,25549
Lappion,268,4,272
Largny-sur-Automne,244,11,255
Latilly,208,5,213
Launoy,99,1,100
Laval-en-Laonnois,250,4,254
Lavaqueresse,202,5,207
Laversine,159,4,163
Lehaucourt,877,8,885
Lemé,430,11,441
Lempire,100,0,100
Lerzy,213,4,217
Leschelle,270,9,279
Lesdins,832,12,844
Lesges,102,1,103
Lesquielles-Saint-Germain,810,7,817
Leuilly-sous-Coucy,420,8,428
Leury,106,0,106
Leuze,173,3,176
Levergies,545,10,555
Lhuys,141,1,142
Licy-Clignon,74,2,76
Lierval,118,1,119
Liesse-Notre-Dame,1298,106,1404
Liez,391,10,401
Limé,187,3,190
Lislet,225,10,235
Logny-lès-Aubenton,74,0,74
Longpont,262,9,271
Lor,142,0,142
Louâtre,199,3,202
Loupeigne,91,1,92
Lucy-le-Bocage,195,7,202
Lugny,114,0,114
Luzoir,285,6,291
Ly-Fontaine,121,1,122
Maast-et-Violaine,147,5,152
Mâchecourt,122,3,125
Macogny,73,3,76
Macquigny,376,2,378
Magny-la-Fosse,125,1,126
Maissemy,239,7,246
Maizy,411,3,414
La Malmaison,410,3,413
Malzy,203,1,204
Manicamp,307,4,311
Marchais,435,3,438
Marcy,173,8,181
Marcy-sous-Marle,192,3,195
Marest-Dampcourt,369,6,375
Mareuil-en-Dôle,240,2,242
Marfontaine,86,2,88
Margival,370,2,372
Marigny-en-Orxois,485,5,490
Marizy-Saint-Mard,50,1,51
Marizy-Sainte-Geneviève,130,0,130
Marle,2268,37,2305
Marly-Gomont,475,15,490
Martigny,434,12,446
Martigny-Courpierre,124,2,126
Mauregny-en-Haye,420,4,424
Mayot,211,1,212
Mennessis,408,4,412
Mennevret,651,12,663
Mercin-et-Vaux,962,21,983
Merlieux-et-Fouquerolles,259,8,267
Mesbrecourt-Richecourt,305,2,307
Mesnil-Saint-Laurent,476,16,492
Meurival,52,0,52
Mézières-sur-Oise,516,8,524
Mézy-Moulins,517,8,525
Missy-aux-Bois,97,3,100
Missy-lès-Pierrepont,108,1,109
Missy-sur-Aisne,640,18,658
Molain,152,1,153
Molinchart,329,8,337
Monampteuil,131,7,138
Monceau-le-Neuf-et-Faucouzy,319,9,328
Monceau-le-Waast,220,6,226
Monceau-lès-Leups,473,7,480
Monceau-sur-Oise,128,2,130
Mondrepuis,1040,15,1055
Monnes,104,0,104
Mons-en-Laonnois,1152,28,1180
Mont-d'Origny,847,4,851
Mont-Notre-Dame,736,7,743
Mont-Saint-Jean,75,2,77
Mont-Saint-Martin,74,2,76
Mont-Saint-Père,700,14,714
Montaigu,761,10,771
Montbavin,44,2,46
Montbrehain,810,19,829
Montchâlons,84,2,86
Montcornet,1338,9,1347
Montescourt-Lizerolles,1648,31,1679
Montfaucon,203,5,208
Montgobert,193,6,199
Montgru-Saint-Hilaire,32,1,33
Monthenault,152,6,158
Monthiers,161,4,165
Monthurel,151,2,153
Montigny-en-Arrouaise,291,4,295
Montigny-l'Allier,274,5,279
Montigny-le-Franc,142,2,144
Montigny-Lengrain,702,16,718
Montigny-lès-Condé,59,6,65
Montigny-sous-Marle,63,1,64
Montigny-sur-Crécy,315,5,320
Montlevon,301,3,304
Montloué,187,4,191
Montreuil-aux-Lions,1369,14,1383
Morcourt,574,14,588
Morgny-en-Thiérache,89,3,92
Morsain,444,9,453
Mortefontaine,233,5,238
Mortiers,187,1,188
Moulins,76,1,77
Moussy-Verneuil,123,1,124
Moÿ-de-l'Aisne,975,18,993
Muret-et-Crouttes,119,8,127
Muscourt,52,1,53
Nampcelles-la-Cour,118,4,122
Nampteuil-sous-Muret,103,1,104
Nanteuil-la-Fosse,193,1,194
Nanteuil-Notre-Dame,62,0,62
Nauroy,703,9,712
Nesles-la-Montagne,1230,35,1265
Neufchâtel-sur-Aisne,423,7,430
Neuflieux,91,2,93
Neuilly-Saint-Front,2078,34,2112
Neuve-Maison,611,14,625
La Neuville-Bosmont,187,2,189
La Neuville-en-Beine,197,3,200
La Neuville-Housset,67,2,69
La Neuville-lès-Dorengt,380,6,386
Neuville-Saint-Amand,842,20,862
Neuville-sur-Ailette,105,2,107
Neuville-sur-Margival,117,0,117
Neuvillette,186,9,195
Nizy-le-Comte,244,4,248
Nogent-l'Artaud,2167,47,2214
Nogentel,1012,23,1035
Noircourt,81,0,81
Noroy-sur-Ourcq,130,0,130
Le Nouvion-en-Thiérache,2602,28,2630
Nouvion-et-Catillon,474,4,478
Nouvion-le-Comte,249,9,258
